row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len
2183,金优358,桂审稻2007038,2007.0,省审,桂,True,True,False,,晚稻,,484.7,23.2,七桂占,480.5,25.3,111.0,,112.9,16.0,25.4,176.5,75.8,24.8,,,,,,,,,,70.2,2.2,,21.7,60.0,3.3,,,,False,广西大学,448
2184,II优673,闽审稻2008011,2008.0,省审,闽,False,True,False,,中稻,省中稻优质组,,,汕优63,583.76,,,,126.2,14.7,25.5,185.2,84.98,28.1,,,,中抗稻瘟病,,,,,,65.2,10.7,62.0,21.6,86.0,2.4,5.6,,,False,中种集团福建农嘉种业有限公司、福建省农业科学院水稻研究所,440
2185,II优516,闽审稻2008015,2008.0,省审,闽,False,True,False,,中稻,福建省中稻B组,,,Ⅱ优明86,604.42,,,,126.5,14.8,26.1,186.7,84.6,28.9,,,,中感稻瘟病,,,,,,63.9,7.3,40.0,24.1,76.0,2.5,4.6,,,False,福建省南平市农业科学研究所,434
2186,绵5优3551,,,,,True,True,False,籼,中籼,,556.82,6.41,,580.6,10.53,153.0,3.0,115.8,18.8,24.7,,79.9,25.9,,,,,,,,,,64.6,19.4,80.0,26.4,86.0,2.5,6.0,,,False,,520
2187,深优9536,粤审稻2011016,2011.0,省审,粤,True,True,False,,,,,,种优优128,489.88,3.03,,,,,,,79.8,,,,,抗稻瘟病,,中感白叶枯病,,,,41.7,28.1,30.0,13.0,,3.0,,,,False,清华大学深圳研究生院,527
2188,II优2008,琼审稻2009022,2009.0,省审,琼,True,True,False,,,,,,,409.1,2.3,,,,,,123.2,94.1,25.0,,,,,,,,,,,,,,,,,,,False,广东海洋大学农业生物技术研究所,413
2189,华两优105（原名：两优105）,赣审稻2005005,2005.0,省审,赣,True,False,True,籼,,,,,浙733,,,107.2,,83.6,23.3,,100.8,,27.7,,,,,,,,,,,,,,70.0,3.2,6.0,,,False,华中农业大学,405
2190,海丰1S（原名：SG1S）,琼审稻2005015,2005.0,省审,琼,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,1.6,9.0,23.0,84.0,2.9,6.8,,,False,海南神农大丰种业科技股份有限公司,326
2191,特优837,桂审稻2007016,2007.0,省审,桂,True,True,False,,早稻,,,,特优63,513.4,5.2,125.0,,119.5,16.9,23.6,121.0,86.7,30.7,,,,,,,,,,52.6,22.2,,20.6,52.0,2.6,,,,False,广西壮族自治区种子公司,469
2192,西农优5号,,,,,True,True,False,籼,,,687.8,4.75,,685.9,2.5,158.0,,96.9,,23.1,,,29.6,,,,,,,,,,71.1,4.16,,19.98,30.2,2.9,,,,False,西南大学农学与生物科技学院,369
2193,宜优673,国审稻2009018,2009.0,国审,,True,True,False,籼,中稻,长江中下游迟熟中籼组,567.54,3.02,Ⅱ优838,571.57,6.46,133.8,0.5,132.4,16.6,28.1,152.6,75.8,30.9,4.1,4.1,,,9.0,,7.0,,,49.8,6.7,52.0,16.4,66.0,3.1,,,,False,福建省农业科学院水稻研究所,443
2194,竹丰优28,,,,,True,False,False,籼,,,651.5,13.3,汕优63,711.7,,173.0,,111.5,19.8,26.1,,79.5,27.4,,,,,,中抗白叶枯病,,,,,,,,62.0,,5.0,,,False,四川竹丰种业有限公司,385
2195,C两优198,皖稻2016033,2016.0,省审,皖,False,False,False,,,,,,,,6.02,138.0,,115.7,16.5,,204.1,80.3,27.4,,,,,,,,,,,,,,,,,,,False,,268
2196,两优航2号,,,,,True,False,True,籼,,,709.9,10.0,,814.0,27.9,166.0,,106.5,,24.1,,82.5,30.4,,,,,,,,,,,9.5,,17.2,84.0,3.2,,,,False,福建省农业科学院水稻研究所,343
2197,台早518,浙审稻2009037,2009.0,省审,浙,False,False,False,,早籼,,,,嘉育293,515.1,4.6,110.2,1.1,87.7,20.7,17.1,127.0,84.7,26.6,,,,,,,,,,52.7,30.6,99.8,26.6,67.0,2.1,,,部颁,False,台州市农业科学研究院,530
2198,全优2689,韶审稻201004,2010.0,省审,韶,True,True,False,,,,,,,,,,,,,,,,,,,,高抗稻瘟病,,,,,,20.9,49.5,88.0,21.5,70.0,2.6,,,,False,福建农林大学作物科学学院,491
2199,欣荣优023,赣审稻2008018,2008.0,省审,赣,True,True,False,,,,445.78,6.31,金优207,,,112.2,,88.8,24.0,,102.8,72.3,25.2,,,,高感稻瘟病,,,,,,,,,,72.0,3.4,,1.0,,False,江西省种子公司,402
2200,佛山油占,粤审稻2004001,2004.0,省审,粤,False,False,False,籼,,,,,种粳籼89分别,375.5,0.61,,,96.4,21.9,20.0,130.0,77.6,19.6,,,,抗稻瘟病,,中抗白叶枯病,,,,67.1,0.8,8.0,14.42,98.0,,,,,False,佛山市农业科学研究所,424
2201,金航丝苗,粤审稻2006014,2006.0,省审,粤,False,False,False,籼,,,,,种粳籼89,387.64,3.13,,,,,,,82.1,,,,,高抗稻瘟病,,高感白叶枯病,,,,69.5,0.8,4.0,15.0,,,,1.0,国标,False,华南农业大学植物航天育种研究中心,542
2202,京福1优128（又名：海丰优408）,琼审稻2006014,2006.0,省审,琼,True,True,False,籼,,,,,,572.63,2.78,,,,,,133.2,74.8,25.4,,,,,9.0,,,,,,,,,,,,,,False,,402
2203,华优16,粤审稻2008054,2008.0,省审,粤,True,True,False,,,,,,组合丰优128,500.3,,,,,,,,80.0,,,,,感稻瘟病,,感白叶枯病,,,,66.1,4.6,43.0,22.6,,2.5,,,,False,广东省农作物杂种优势开发利用中心、湛江泰源农业科技有限公司、华南农业大学农学院,467
2204,新香优111,湘审稻2009022,2009.0,省审,湘,True,True,False,籼,中籼,,559.0,4.7,II优58,,,140.0,,105.0,18.0,,173.0,81.1,26.8,,,,,,,,,,58.7,8.9,52.0,21.9,68.0,3.0,5.1,,,False,长沙长龙生物科技有限公司,448
2205,D优725,,,,,True,False,False,籼,,,677.1,17.8,汕优63,705.0,13.6,175.0,,101.5,19.8,25.8,,81.6,30.4,,,,中抗稻瘟病,,中感白叶枯病,,,,,,,,50.0,,5.3,,,False,绵阳市农业科学研究所,372
2206,广籼粘3号,粤审稻2010005,2010.0,省审,粤,False,False,False,,,,,,种优优128分别,476.6,0.84,,,,,,,77.6,,,,,高抗稻瘟病,,抗白叶枯病,,,,63.6,19.0,46.0,16.1,70.0,,,,,False,广州市农业科学研究院,445
2207,佳A,桂审稻2007048,2007.0,省审,桂,True,False,False,,,,,,,,,,,70.0,,24.0,,50.0,21.9,,,,,,,,,,65.2,0.8,8.0,24.8,46.0,3.9,,,,False,南宁市沃德农作物研究所,434
2208,黄籼占,粤审稻2009018,2009.0,省审,粤,False,False,False,籼,,,,,种优优128,446.76,11.57,,,,,,,85.4,,,,,中抗稻瘟病,,中抗白叶枯病,,,,37.6,6.6,14.0,16.7,,,,,,False,广东省农业科学院水稻研究所,495
2209,巨风A,鄂审稻2008012,2008.0,省审,鄂,True,True,False,籼,,,,,,,,,,55.0,,16.0,160.0,,25.0,,,,高感稻瘟病,,感白叶枯病,,,,,,,,,,,,,False,,402
2210,天优3229,闽审稻2008022,2008.0,省审,闽,False,True,False,,晚稻,省晚稻A组,,,汕优63,486.16,,,,103.0,16.0,22.7,147.2,77.98,29.8,,,,中感稻瘟病,,,,,,63.9,11.4,68.0,22.5,88.0,3.1,5.6,,,False,福建省农业科学院生物技术研究所、广东省农科院水稻研究所,419
2211,H两优991,桂审稻2011017,2011.0,省审,桂,True,False,True,,晚稻,,482.28,6.79,中优838,414.22,10.76,108.0,,116.9,17.0,22.4,153.8,77.7,24.0,,,,,,,,,,65.3,4.2,,13.9,85.0,3.3,,,,False,广西兆和种业有限公司,608
2212,深两优58油占,粤审稻2008025,2008.0,省审,粤,True,False,True,,,,,,组合优优128,492.7,0.5,,,,,,,75.2,,,,,抗稻瘟病,,中抗白叶枯病,,,,51.8,9.5,26.0,23.7,,3.1,,,,False,国家杂交水稻工程技术研究中心清华深圳龙岗研究所、广东省农业科学院水稻研究所,485
2213,T优855,桂审稻2005017,2005.0,省审,桂,True,True,False,,早稻,桂南迟熟组,,,特优63,479.2,0.5,,,111.4,18.2,24.9,130.3,81.6,27.3,,,,,5.0,,,,,54.8,6.5,,22.1,50.0,3.1,,,,False,湖南杂交水稻研究中心,412
2214,禾丰A,琼审稻2007019,2007.0,省审,琼,True,True,False,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,False,海南神农大丰种业育种中心,251
2215,温305,浙审稻2006025,2006.0,省审,浙,False,False,False,籼,早稻,,433.3,,嘉育948,468.0,,109.9,0.4,78.0,18.9,17.8,132.4,80.7,24.5,,,,,,,,,,35.2,22.2,,24.4,59.0,2.0,,,,False,温州市农业科学研究院,461
2216,II优5号,湘审稻2009018,2009.0,省审,湘,True,True,False,籼,中籼,,564.7,3.4,II优58,,,146.0,,115.0,15.9,,169.6,83.5,26.6,,,,,,,,,,71.5,11.7,58.0,23.1,81.0,2.2,5.0,,,False,海南神农大丰种业科技股份有限公司,432
2217,蓉稻415,,,,,True,True,False,籼,中籼,四川省中籼迟熟优质六组,523.96,5.65,汕优63,538.88,1.9,148.4,1.4,118.4,14.5,26.0,,79.0,,,,,,,,,,,55.7,5.8,42.0,16.0,81.0,3.2,,,,False,成都市第二农业科学研究所,478
2218,中优445,,,,,True,True,False,籼,中籼,四川省中籼迟熟优质C组,547.29,2.68,汕优63,563.08,7.56,149.8,,120.0,11.67,26.9,,78.5,29.2,,,,,,,,,,57.7,4.0,,22.8,78.0,3.1,5.6,,,False,,525
2219,中优936,,,,,True,True,False,籼,,,649.1,6.1,,698.1,1.1,161.0,,91.4,,24.1,,81.5,27.6,,,,,,,,,,70.8,6.7,,21.6,,3.5,,,,False,四川省达州市农科所,330
2220,T优108,琼审稻2009023,2009.0,省审,琼,True,True,False,,,,,,,416.68,0.49,,,,,,123.8,88.3,30.7,,,,,,,,,,,,,,,,,,,False,四川国豪种业有限公司海南分公司,401
2221,中早38（原名中05-85）,浙审稻2009038,2009.0,省审,浙,False,False,False,,早籼,,,,嘉育293,507.6,3.1,110.2,1.1,97.6,20.6,19.4,101.5,88.4,29.5,,,,,,,,,,50.9,34.7,100.0,25.4,56.0,2.9,,,部颁,False,中国水稻研究所,536
2222,株两优819,赣审稻2006004,2006.0,省审,赣,True,False,True,,,,,,浙733,,,105.4,,80.9,23.5,,107.8,81.5,24.2,,,,,,,,,,60.6,11.5,96.0,20.81,61.0,3.2,,,,False,湖南亚华种业科学研究院,378
2223,博优679,桂审稻2005024,2005.0,省审,桂,True,True,False,,晚稻,,,,博优253,513.2,8.65,122.0,,109.0,17.3,24.1,147.8,86.3,24.8,,,,,7.0,,,,,70.3,4.1,,22.3,69.0,2.6,,,,False,广西博士园种业有限公司,413
2224,研优1号（原名902A×2070F）,浙审稻2005004,2005.0,省审,浙,False,False,False,,单季,,504.2,16.4,汕优63,547.0,20.5,136.4,8.2,,18.0,,145.7,86.1,25.6,,,,,,,,,,32.0,7.2,45.0,14.1,88.0,3.0,,,,False,中国水稻研究所、浙江勿忘农种业集团有限公司,440
2225,盐582S,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,3
2226,两优航2号,闽审稻2008024,2008.0,省审,闽,False,False,False,,晚稻,省晚稻A组,,,汕优63,511.31,,,,105.7,15.8,24.5,144.9,80.7,29.0,,,,感稻瘟病,,,,,,54.9,6.3,58.0,16.2,78.0,3.0,4.7,,,False,福建省农业科学院水稻研究所,396
2227,岗香707,滇审稻2008001,2008.0,省审,滇,True,True,False,籼,,,625.4,8.8,,558.84,12.99,151.0,,109.2,,,,81.5,31.0,,,,,,,,,,60.1,4.8,48.0,22.1,50.0,,5.0,,,False,四川金堂莲花农科所、四川农大水稻研究所,410
2228,T优898,赣审稻2005080,2005.0,省审,赣,True,True,False,,,,,,金优402,,,112.4,2.1,93.6,22.0,,119.6,,24.7,,,,,,,,,,,,,,75.0,3.2,,,,False,湖南隆平高科农平种业有限公司,331
2229,安两优9808,赣审稻2005014,2005.0,省审,赣,True,False,True,,,,,,汕优46,,,119.9,,100.8,18.9,,122.7,75.3,26.1,,,,,,,,,,44.4,8.9,89.0,25.5,32.0,2.5,,,,False,江西省上饶市水稻良种场,339
2230,惠A,桂审稻2005038,2005.0,省审,桂,True,False,False,,早稻,,,,,,,,,,,,,60.0,21.0,,,,,,,,,,,,,,,,,1.0,国标,False,广西桂穗种业有限公司,552
2231,信丰A,桂审稻2007054,2007.0,省审,桂,True,False,False,,,,,,,,,,,70.0,,,,,18.5,,,,,,,,,,55.8,7.0,,23.9,46.0,3.8,,,,False,,393
2232,早优11,桂审稻2006004,2006.0,省审,桂,True,True,False,,早稻,,,,金优463,415.3,2.7,108.0,,106.1,17.2,22.6,169.9,72.9,22.4,,,,,7.0,,,,,64.5,0.7,,18.5,68.0,3.2,,,,False,广西壮族自治区农业科学院水稻研究所,438
2233,金优9017,湘审稻2009011,2009.0,省审,湘,True,True,False,籼,中籼,,538.2,12.2,金优207,,,133.0,,109.0,15.7,,181.2,77.1,28.9,,,,,,,,,,58.8,12.0,64.0,22.0,61.0,2.9,3.9,,,False,湘西海鑫农业科技开发有限责任公司,419
2234,新优203,,,,,True,False,False,籼,,,707.8,8.2,,756.4,9.6,170.0,,103.7,,24.5,,82.1,31.2,,,,,,,,,,51.9,4.6,21.0,24.2,81.0,3.2,,,,False,洪雅川农高科种业有限责任公司,370
2235,II优798,琼审稻2009009,2009.0,省审,琼,True,True,False,籼,,,,,,341.66,2.6,,-1.8,,,,152.4,76.1,23.9,,,,,5.0,,,,,,,,,,,,,,False,海南海亚南繁种业有限公司,460
2236,新香318,赣审稻2009027,2009.0,省审,赣,True,True,False,,,,,,汕优46,,,119.9,,96.8,19.9,,124.6,79.6,25.2,,,,高感稻瘟病,,,,,,,,,,70.0,3.2,,1.0,,False,永修县种子公司,378
2237,94A,赣审稻2009032,2009.0,省审,赣,True,True,False,籼,中籼,,,,,,,,,,,,,,,,,,,,,,,,46.2,2.0,24.0,18.2,32.0,3.3,,,,False,北京金色农华种业科技有限公司江西分公司,308
2238,绮优293,桂审稻2005009,2005.0,省审,桂,True,True,False,,早稻,优质组,,,七桂占,431.8,28.7,,,102.1,20.6,21.8,154.8,79.2,19.2,,,,,9.0,,,,,,,,,39.0,3.0,,,,False,广西农科院水稻研究所,416
2239,嘉育70（原名：G03-70）,浙审稻2006023,2006.0,省审,浙,False,False,False,,早稻,,524.1,9.7,嘉育293,510.9,3.2,,,85.6,21.9,17.3,134.7,77.4,,,,,,,,,,,66.4,26.2,100.0,24.1,66.5,2.0,,,,False,嘉兴市农业科学研究院,467
2240,天优363,粤审稻2009012,2009.0,省审,粤,True,True,False,,,,,,组合中9优207,441.0,,,,,,,,76.3,,,,,中抗稻瘟病,,感白叶枯病,,,,48.6,20.8,37.0,23.2,,2.6,,,,False,连山壮族瑶族自治县农业科学研究所、广东省农业科学院水稻研究所,528
2241,T优974,桂审稻2004006,2004.0,省审,桂,True,True,False,籼,早稻,桂中北稻作区早稻早熟组,,,金优974,468.5,1.8,,,95.8,19.2,22.1,142.0,68.3,24.3,,,,,9.0,,,,,55.4,2.4,,21.6,70.0,3.4,,,,False,湖南省衡阳市农业科学研究所,391
2242,Ⅱ优5105,闽审稻2008,2008.0,省审,闽,False,True,False,,晚稻,三明市晚稻B组,,,汕优63,505.51,,,,109.59,15.25,24.51,151.67,80.44,29.0,,,,中抗稻瘟病,,,,,,52.7,9.6,,22.2,81.0,,5.9,,,False,福建省南平市农业科学研究所,406
2243,特优716,琼审稻2009013,2009.0,省审,琼,True,True,False,,,,,,,446.82,6.71,,,,,,120.55,86.2,29.7,,,,,,,,,,,,,,,,,3.0,,False,福建省南平市农业科学研究所,434
2244,金优299,桂审稻2005002,2005.0,省审,桂,True,True,False,,早稻,桂中北中熟组,,,粤香占,452.3,2.4,,,110.2,159.5,23.0,158.6,77.7,28.7,,,,,5.0,,,,,61.7,13.9,,19.6,79.0,2.9,,,,False,湖南杂交水稻研究中心,410
2245,秋长优3号,桂审稻2005034,2005.0,省审,桂,True,True,False,,晚稻,优质组,,,七桂占,430.8,25.3,,,101.7,19.7,24.1,142.2,75.4,23.0,,,,,7.0,,,,,66.4,0.4,,21.4,83.0,3.1,,,,False,博白县作物品种资源研究所,462
2246,知红A,桂审稻2008025,2008.0,省审,桂,True,False,False,,早稻,,,,,,,,,68.5,,20.9,,,19.4,,,,,,,,,,71.3,3.1,24.0,,58.0,2.7,,,,False,广西农业科学院水稻研究所,468
2247,安两优1号,桂审稻2004013,2004.0,省审,桂,True,False,True,籼,早稻,桂中北稻作区中熟组,,,粤香占,483.3,5.1,,,105.3,17.9,21.1,148.4,75.7,25.6,,,,,9.0,,,,,64.8,30.4,,19.6,72.0,3.04,,,,False,广西大学、广西区种子公司,482
2248,谷优2173,闽审稻2011,2011.0,省审,闽,False,True,False,,中稻,,,,Ⅱ优明86,556.7,12.53,,,120.53,15.71,26.34,170.84,87.74,30.43,,,,中感稻瘟病,,,,,,38.9,20.8,71.0,21.6,72.0,2.5,5.7,,,False,福建省农业科学院水稻研究所、福建福稻种业科技有限公司,422
2249,德两优9号,赣审稻2006025,2006.0,省审,赣,True,False,False,,,,,,汕优63,,,131.8,,120.1,16.5,,161.7,76.9,25.7,,,,,,,,,,59.6,3.8,25.0,21.27,75.0,3.0,,3.0,,False,德农正成种业有限公司长沙德农正成水稻研究所,389
2250,圣丰优16,闽审稻2009,2009.0,省审,闽,False,True,False,,中稻,,,,汕优63,581.9,16.3,,,121.8,15.8,26.2,170.3,79.94,28.4,,,,中抗稻瘟病,,,,,,,,,,58.0,2.9,6.8,,,False,南平市农科所,408
2251,金优188,,,,,True,True,False,籼,中籼,,563.2,6.31,,610.4,10.78,151.0,1.0,120.0,,,,75.3,28.2,,,,抗稻瘟病,,,,,,56.0,17.8,,26.2,72.0,2.8,,,,False,,378
2252,D香287,,,,,True,True,False,籼,,,,,,,16.9,,,98.0,,23.5,,,30.8,,,,抗稻瘟病,,中抗白叶枯病,,,,,7.3,,,,3.2,,,,False,,375
2253,华优665,粤审稻2006023,2006.0,省审,粤,True,True,False,,,,,,组合华优8830、中9优207,,,,,,,21.3,135.0,86.2,23.7,,,,抗稻瘟病,,中感白叶枯病,,,,54.8,10.8,36.0,17.5,50.0,2.6,,2.0,国标,False,广东农作物杂种优势开发利用中心、华南农业大学农学院,393
2254,吉优7号,桂审稻2009004,2009.0,省审,桂,True,True,False,,早稻,,,,金优463,414.2,7.4,112.0,,102.0,19.3,22.1,121.2,78.8,26.9,,,,,,,,,,56.6,6.3,,22.4,44.0,3.1,,,,False,四川农业大学水稻研究所，湖南川农高科种业有限责任公司,489
2255,齐新占,粤审稻2006066,2006.0,省审,粤,False,False,False,,,,,,种粤香占,365.18,0.39,,,,,,,78.5,,,,,中抗稻瘟病,,中感白叶枯病,,,苗期耐寒性中等,52.3,3.8,9.0,23.3,65.0,3.6,,3.0,国标,False,广东省农业科学院水稻研究所,462
2256,博Ⅲ优9678,桂审稻2007031,2007.0,省审,桂,True,True,False,,晚稻,,,,博优253,498.1,1.1,119.0,,119.8,17.2,24.0,137.4,90.3,26.6,,,,,,,,,,70.5,0.6,,14.8,68.0,3.2,,,,False,博白县农业科学研究所,457
2257,T78优2155,桂审稻2005003,2005.0,省审,桂,True,True,False,,早稻,桂中北中熟组,,,粤香占,473.5,6.9,120.0,,120.7,18.0,24.2,142.5,80.3,26.9,,,,,5.0,,,,,47.9,30.9,,20.5,80.0,2.6,,,,False,福建省三明市农业科学研究所,409
2258,软红米,粤审稻2008041,2008.0,省审,粤,False,False,False,,,,,,种野丝占,436.24,4.98,108.0,,,,,,79.7,21.2,,,,抗稻瘟病,,中抗白叶枯病,,,,67.6,2.9,13.0,16.4,66.0,,,2.0,国标,False,广东省农业科学院水稻研究所,565
2259,九稻60号,,,,,True,False,False,,,,,,,,,,,100.4,,,,,,,,,,,,,,,,,,,,,,,,False,吉林市农业科学院,96
2260,垦糯2号,黑垦审稻2009002,2009.0,省审,黑,True,False,False,,,,,,,,13.9,,,92.1,,16.8,,,26.0,,,,,,,,,耐冷性鉴定：处理空,63.5,100.0,,,,,,,,False,黑龙江省农垦科学院水稻研究所,403
2261,泰澳丝苗,粤审稻2006047,2006.0,省审,粤,False,False,False,籼,,,,,种粳籼89,416.48,3.35,,,,,,,80.0,,,,,中感稻瘟病,,中感白叶枯病,,,,68.8,3.6,14.0,20.5,64.0,3.2,,3.0,国标,False,广东省农业科学院水稻研究所,459
2262,松A（380A）,桂审稻2007050,2007.0,省审,桂,True,False,False,,,,,,,,,,,87.0,,,,,18.0,,,,,,,,,,,,,,,4.1,,,,False,,431
2263,先丰A,桂审稻2007055,2007.0,省审,桂,True,False,False,,,,,,,,,,,,,23.5,,,23.3,,,,,,,,,,63.0,2.0,12.0,22.7,66.0,3.8,,,,False,,438
2264,两优15,,,,,True,False,True,籼,,,650.75,3.25,Ⅱ优58,742.09,12.1,160.0,,104.4,16.8,23.1,,,,,,,,,,,,,64.8,20.66,,19.72,71.0,2.5,4.0,,,False,福建兴禾种业科技有限公司,410
2265,培两优612（原名：GY6-12）,浙审稻2010008,2010.0,省审,浙,False,False,True,,双季,,,,汕优10号,482.3,1.7,118.6,-3.2,111.1,17.6,22.9,189.1,78.4,22.1,,,,,,,,,,58.1,3.9,28.5,22.5,89.0,3.0,,,部颁,False,中国水稻研究所,559
2266,元丰优86（区试名：元丰优明86）,闽审稻2011009,2011.0,省审,闽,False,True,False,,中稻,省中稻感光组,,,汕优70,562.5,7.2,,,135.4,15.3,27.6,177.2,80.61,29.6,,,,中感稻瘟病,,,,,,28.3,8.1,42.0,14.0,76.0,2.8,5.7,,,False,福建省三明市农业科学研究所、福建六三种业有限责任公司,436
2267,辽河糯,,,,,True,False,False,,,辽宁省水稻中熟组,591.23,9.94,辽粳371,601.42,12.45,,,95.0,,16.5,,,24.6,,,,,,,,,,,,,,,,,,,False,,266
2268,中优173,赣审稻2009025,2009.0,省审,赣,True,True,False,,,,,,汕优46,,,120.1,,102.3,18.0,,120.8,77.5,29.0,,,,高感稻瘟病,,,,,,,,,,53.0,3.3,,2.0,,False,江西先农种业有限公司,383
2269,博II优6410（原名：博优6410）,琼审稻2004001,2004.0,省审,琼,False,False,False,,,海南省普通稻谷组,,,,357.46,1.1,115.0,,107.8,18.3,21.2,,74.0,,,,,中抗稻瘟病,,感白叶枯病,,,,,,,,,,,,,False,海南省海亚南繁种业有限公司,359
2270,金优987（原名金23A/SC辐1）,浙审稻2005006,2005.0,省审,浙,False,False,False,,晚籼,,497.5,6.4,协优46,499.2,12.8,127.5,0.4,,16.5,,,78.0,27.0,,,,,,,,,,62.5,12.3,59.0,26.6,52.0,,,,,False,金华市婺城区三才农业技术研究所,403
2271,培杂泰丰,粤审稻2004013,2004.0,省审,粤,True,False,True,,,,,,种培杂双七分别,,,,,105.4,,22.5,146.0,80.2,21.4,,,,中感稻瘟病,,,,,,60.0,3.9,19.0,17.9,,3.2,,3.0,国标,False,华南农业大学农学院,435
2272,岳优华4,桂审稻2004001,2004.0,省审,桂,True,True,False,籼,早稻,桂中北稻作区早稻早熟组,,,金优974,478.0,2.6,,,90.3,20.1,22.3,121.4,73.8,27.2,,,,,9.0,,,,,48.2,4.1,,22.3,75.0,3.3,,,,False,湖南亚华种业科学研究院,444
2273,丝优0848,琼审稻2004008,2004.0,省审,琼,True,True,False,籼,,,,,,456.16,0.27,127.2,,103.61,19.32,22.16,125.6,84.1,26.1,,,,中抗稻瘟病,,,,,,,,,,,,,3.0,,False,,370
2274,天优96,桂审稻2008005,2008.0,省审,桂,True,True,False,,晚稻,,,,中优838,506.32,7.08,111.0,,107.9,16.0,23.5,146.4,83.7,29.0,,,,,,,,,,38.5,17.0,,22.0,78.0,3.1,,,,False,广西科泰种业有限公司,468
2275,煜两优22,国审稻2016006,2016.0,国审,,True,False,True,籼,双季,早籼迟熟组,530.7,,陆两优996,514.2,2.6,113.0,-0.4,86.5,20.4,19.7,129.1,81.6,28.2,,,,高感稻瘟病,7.0,感白叶枯病,9.0,,,46.6,9.8,73.0,20.5,66.0,2.9,,,,False,,422
2276,宜香3724,,,,,True,True,False,籼,中籼,,548.4,4.74,汕优63,583.7,7.26,,,117.0,13.56,27.0,,81.0,30.1,,,,,,,,,,54.3,4.5,,16.0,83.0,2.8,6.7,,,False,,456
2277,植优523,粤审稻2011014,2011.0,省审,粤,True,True,False,,,,,,种粤香占分别,454.14,10.73,,3.0,,,,,72.1,,,,,中抗稻瘟病,,中抗白叶枯病,,,,45.8,31.0,56.0,25.3,,3.3,,,,False,中国科学院华南植物园,522
2278,天优838,粤审稻2006064,2006.0,省审,粤,True,True,False,,,,,,种培杂双七,459.4,,,,,,,,70.4,,,,,高抗稻瘟病,,感白叶枯病,,,,45.5,25.6,54.0,23.9,38.0,3.0,,,国标,False,广东省农业科学院水稻研究所、广东省金稻种业有限公司,432
2279,II优1273,闽审稻2004006,2004.0,省审,闽,False,True,False,,中稻,参加福建省中稻组,,,汕优63,,,145.0,,120.0,,26.0,160.0,86.0,28.0,,,,抗稻瘟病,,,,,,59.4,9.8,48.0,22.7,66.0,2.5,5.5,,部颁,False,福建省三明市农业科学研究所,460
2280,金优233,湘审稻2009007,2009.0,省审,湘,True,True,False,籼,早籼,,541.08,2.99,金优402,,,112.0,,90.0,21.5,,,82.0,27.3,,,,高感稻瘟病,,中感白叶枯病,,,,60.5,15.0,84.0,20.4,48.0,2.9,4.0,,,False,湖南隆平种业有限公司,407
