row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len
50,欣荣优华占,国审稻2013021,2013.0,国审,,True,True,False,籼,中稻,长江中下游中籼迟熟组,582.9,,Ⅱ优838,595.8,12.5,128.2,-6.0,111.0,18.6,23.2,175.3,84.6,23.6,3.8,3.8,,中感稻瘟病,7.0,感白叶枯病,9.0,抽穗期耐热性较差,,64.6,8.1,38.0,14.4,77.0,2.7,,,,False,北京金色农华种业科技有限公司,408
51,荃两优 087,国审稻20216101,2021.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,656.07,5.71,丰两优四号,,,130.8,,121.2,14.7,24.3,216.5,87.2,26.2,,,5.0,中感稻瘟病,5.0,中感白叶枯病,9.0,抽穗期耐热性较强,,71.9,0.2,,16.4,65.0,3.1,7.0,1.0,,False,,524
52,甬优12（原名：05-G364、甬优12号）,浙审稻2010015,2010.0,省审,浙,False,True,False,粳,单季,,,,秀水09,603.7,22.7,154.1,7.3,120.9,12.3,20.7,327.0,72.4,22.5,,,,,,,,,,68.8,5.1,29.7,14.7,75.0,2.1,,,部颁,False,宁波市农业科学研究院、宁波市种子有限公司、上虞市舜达种子有限责任公司,583
53,荃优607,国审稻20206150,2020.0,国审,,True,True,False,籼,中稻,长江中下游中籼迟熟组,640.47,7.25,丰两优四号,654.82,6.56,126.0,,124.3,17.1,23.8,204.1,85.9,25.5,,,5.0,中感稻瘟病,7.0,感白叶枯病,9.0,抽穗期耐热性强,,67.0,1.0,,17.8,66.0,3.1,6.6,1.0,《食用稻品种品质》,True,中国种子集团有限公司,457
54,镇糯19号,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,3
55,两优688,闽审稻2009007,2009.0,省审,闽,False,False,True,,晚稻,省晚稻组,,,汕优63,529.34,9.96,,,104.5,16.3,24.9,142.7,84.67,29.2,,,,感稻瘟病,,,,,,55.1,10.8,80.0,24.7,87.0,2.9,4.8,,,False,南平市农业科学研究所,402
56,荃优 836,国审稻20216017,2021.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟组,,,,,1.89,153.8,,106.8,15.3,23.6,194.1,84.6,27.2,,,7.0,感稻瘟病,,,9.0,抽穗期耐热性 较强,耐冷性一般,67.6,2.4,,16.5,69.0,2.9,6.8,2.0,《食用稻品种品质》,False,,533
57,Y两优5867,赣审稻2010002,2010.0,省审,赣,True,False,True,,,,561.79,6.99,II优838,,,129.2,4.9,120.7,17.0,,141.2,85.0,27.8,,,,高感稻瘟病,,,,,,,,,,80.0,3.3,,3.0,,False,江西科源种业有限公司,420
58,隆两优1377,国审稻20176007,2017.0,国审,,True,False,True,籼,中稻,长江上游中籼迟熟组,655.2,,F优498,626.9,4.3,155.1,4.4,114.2,16.3,23.4,196.0,82.2,26.1,,,,中感稻瘟病,,,9.0,,,63.4,2.4,13.0,16.5,76.0,3.0,,2.0,《优质稻谷》,False,,415
59,荆两优1198,国审稻2013022,2013.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,588.5,,Ⅱ优838,576.0,8.1,139.4,5.3,128.8,14.9,25.5,188.2,75.9,31.1,6.1,6.1,,高感稻瘟病,9.0,,9.0,抽穗期耐热性较差,,56.1,11.5,72.0,26.0,,2.7,,,,False,湖南活力种业科技股份有限公司,402
60,圣稻22,国审稻2015048,2015.0,国审,,False,False,False,粳,,国家黄淮粳稻组,647.9,,徐稻3号,643.3,7.06,158.9,,95.6,,17.3,156.1,86.8,25.9,,,1.0,抗稻瘟病,,,,,,71.5,1.3,,15.6,76.0,,,2.0,《优质稻谷》,False,山东省水稻研究所,386
61,皖垦糯1号（圹糯2号）,皖稻2010025,2010.0,省审,皖,False,False,False,,,,,,,,,126.0,,86.0,23.0,,,85.0,26.0,,,,,,,,,,,,,,,,,,,False,,200
62,南粳5055,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,3
63,C两优华占,鄂审稻2013008,2013.0,省审,鄂,True,False,True,籼,中稻,,,,,,,134.4,3.4,115.3,19.6,24.4,181.2,82.4,24.51,3.1,3.1,,中抗稻瘟病,5.0,中感白叶枯病,,,,,,,,,,,,,False,,334
64,湘两优2号,桂审稻2014041,2014.0,省审,桂,True,False,True,籼,中稻,,,,中浙优1号,,,139.0,,113.3,15.3,23.9,178.3,82.4,26.3,6.8,6.8,,感稻瘟病,7.0,,,,,59.3,2.0,,24.3,90.0,3.1,,,,False,湖南年丰种业科技有限公司,458
65,光灿1号,国审稻2014038,2014.0,国审,,False,False,False,粳,,国家黄淮粳稻组,651.4,,徐稻3号,630.6,8.0,160.4,,99.6,,14.8,,85.4,26.7,,,1.0,抗稻瘟病,,,,,,69.5,4.4,,16.9,83.5,,,,,False,获嘉县友光农作物研究所,374
66,宁粳4号,国审稻2009040,2009.0,国审,,False,False,False,粳,,黄淮粳稻组,586.3,6.8,豫粳6号,609.4,0.9,155.6,,99.1,21.1,16.6,144.5,82.8,25.0,,,3.0,,,,,,,67.7,4.0,,16.7,83.0,,,,,False,南京农业大学农学院,369
67,Y两优1928,湘审稻2010024,2010.0,省审,湘,True,False,True,籼,中籼,,643.4,6.56,两优培九,,,138.0,,125.0,16.0,,193.5,82.0,26.6,,,,,,,,,,69.3,3.5,18.0,14.0,74.0,3.1,6.6,,,False,湖南天盛生物科技有限公司、湖南省杂交水稻研究中心,446
68,隆两优340,国审稻2010028,2010.0,国审,,True,False,True,籼,双季,长江中下游晚籼中迟熟组,504.2,4.5,汕优46,501.5,11.7,119.6,2.4,111.3,18.8,24.8,142.4,80.7,25.7,5.7,5.7,,,3.0,,9.0,,耐冷性中等,61.9,3.3,27.0,16.3,71.0,3.0,,3.0,《优质稻谷》,False,安徽隆平高科种业有限公司,450
69,Y两优143,粤审稻2012018,2012.0,省审,粤,True,False,True,,,,,,种优优128,484.33,2.07,,,,,,,77.6,,,,,抗稻瘟病,,中感白叶枯病,,,,50.3,19.4,26.0,14.1,,3.1,,,,False,国家杂交水稻工程技术研究中心,564
