row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len,region,season,breeding_system,applicant_type,n_applicants,quality_top2,neck_blast_ok,blast_susceptible_text,flag_yield_outlier,flag_duration_outlier
1065,丰优香占（原名：25优6547）,国审稻2003056,2003.0,国审,,True,True,False,籼,中稻,长江中下游中籼迟熟优质组,,,汕优63,570.2,2.66,136.5,,122.5,15.7,23.7,164.8,82.5,27.7,,,,,7.0,,9.0,,,47.1,2.0,,14.5,80.0,3.4,,,,False,江苏里下河地区农业科学研究所，广东省农科院水稻研究所,396,Middle-Lower Yangtze,Single/Mid,Three-line hybrid,Public,2,,,False,False,False
1341,I优86,国审稻2003057,2003.0,国审,,True,True,False,籼,双季,南方稻区晚籼早熟组,,,汕优64,459.2,3.71,115.5,,95.0,18.8,22.2,126.3,79.2,28.0,,,,,7.0,,9.0,,,56.4,9.9,,21.1,48.0,2.8,,,,False,陕西省汉中市农业科学研究所,386,Other/Unspecified,Late,Three-line hybrid,Public,1,,,False,False,False
1531,安两优318,国审稻2003058,2003.0,国审,,True,False,True,籼,双季,南方稻区晚籼早熟高产组,,,汕优64,535.3,12.26,116.9,,94.3,21.0,22.0,112.7,78.0,28.4,,,,,5.0,,3.0,,,56.3,6.6,,20.0,41.5,3.0,,,,False,江西省宁都县种子公司,369,Other/Unspecified,Late,Two-line hybrid,Enterprise,1,,,False,False,False
1502,威优134,国审稻2003059,2003.0,国审,,True,True,False,籼,双季,南方稻区晚籼早熟高产组,,,汕优64,484.2,1.53,114.3,,92.9,20.3,21.3,118.8,78.9,28.7,,,,,7.0,,7.0,,,47.9,18.3,,24.4,48.0,2.7,,,,False,湖南杂交水稻研究中心,397,Other/Unspecified,Late,Three-line hybrid,Public,1,,,False,False,False
1128,两优363,国审稻2003060,2003.0,国审,,True,False,True,籼,双季,南方稻区晚籼早熟高产组,,,汕优64,494.8,3.76,115.3,,94.5,23.2,22.2,95.0,75.6,28.1,,,,,5.0,,5.0,,,51.5,2.9,,14.1,79.0,3.3,,,,False,贵州省农科院水稻研究所,397,Other/Unspecified,Late,Two-line hybrid,Public,1,,,False,False,False
1151,中优448,国审稻2003061,2003.0,国审,,True,True,False,籼,双季,南方稻区晚籼早熟优质组,,,汕优64,463.4,2.2,114.2,,97.0,19.5,23.9,119.9,83.4,27.6,,,,,5.0,,5.0,,,55.7,3.0,,21.8,50.0,3.3,,,,False,四川省农科院作物所，中国水稻研究所,387,Other/Unspecified,Late,Three-line hybrid,Public,2,,,False,False,False
735,湘晚籼10号（原名：农香16）,国审稻2003062,2003.0,国审,,False,False,False,籼,双季,南方稻区晚籼早熟优质组,,,汕优64,471.5,0.49,117.5,,98.2,21.3,21.5,106.9,78.7,28.4,,,,,7.0,,9.0,,,56.0,1.2,,15.0,64.0,3.1,,,,False,湖南省水稻研究所,384,Other/Unspecified,Late,Inbred/Other,Public,1,,,False,False,False
1829,威优111,国审稻2003063,2003.0,国审,,True,True,False,籼,双季,南方稻区晚籼中迟熟组,,,汕优46,487.4,1.97,123.0,,94.9,18.7,22.1,108.3,84.8,28.9,,,,,9.0,,9.0,,,67.7,18.1,,20.6,48.5,2.2,,,,False,湖南杂交水稻研究中心,409,Other/Unspecified,Late,Three-line hybrid,Public,1,,,False,False,False
1597,先农16号（原名：新香优906）,国审稻2003064,2003.0,国审,,True,True,False,籼,双季,南方稻区晚籼中迟熟高产组,,,汕优46,488.9,2.27,122.2,,104.5,19.3,22.4,146.6,77.0,25.2,,,,,5.0,,3.0,,,60.3,9.9,,24.9,42.0,2.7,,,,False,江西省浮梁县利民水稻研究所,403,Other/Unspecified,Late,Three-line hybrid,Public,1,,,False,False,False
234,湘晚籼12号（原名：9724）,国审稻2003065,2003.0,国审,,False,False,False,籼,双季,南方稻区晚籼中迟熟优质组,,,汕优46,465.2,0.24,117.2,,95.7,22.0,22.0,102.2,86.4,24.9,,,,,3.0,,9.0,,,50.6,0.7,,15.5,59.5,3.3,,,,False,湖南省水稻研究所,403,Other/Unspecified,Late,Inbred/Other,Public,1,,,False,False,False
