variety,approval_no,year,type,region_group,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb,bph,heat_cold,applicant,row_index
荃优982,国审稻20200225,2020,三系籼,长江中下游中籼迟熟组联合体,长江中下游,655.38,4.53,,610.26 (增产5.35%),132.3,三级,5.7/5.4,高感稻瘟病,9,3,9,抽穗期耐热性较强,江苏丘陵地区镇江农业科学研究所 / 江苏丘陵地区镇江农业科学研究所、安徽荃银高科种业股份有限公司,7194
荃优1606,国审稻20206016,2020,三系籼,长江上游中籼迟熟组,长江上游,658.46,5.0,丰两优四号,675.67 (增产4.48%),151.3,一级,3.4/3.9,中感稻瘟病,5,7,9,抽穗期耐热性较强,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,425
荃两优丝苗,国审稻20206019,2020,两系籼,长江上游中籼迟熟组,长江上游,662.43,5.67,,654.74 (增产4.54%),151.3,一级,3.9/3.2,中感稻瘟病,5,,9,抽穗期耐热性较强,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、广东省农业科学院水稻研究所,3972
荃两优851,国审稻20206020,2020,两系籼,长江上游中籼迟熟组,长江上游,655.16,4.43,,650.14 (增产3.82%),152.1,二级,4.0/3.0,中感稻瘟病,5,,9,抽穗期耐热性较强,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,3825
荃优569,国审稻20206021,2020,三系籼,长江上游中籼迟熟组,长江上游,660.19,5.31,,652.60 (增产4.07%),150.5,二级,2.8/4.9,感稻瘟病,7,,9,抽穗期耐热性强,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、四川农业大学水稻研究所,4944
荃优锦禾,国审稻20206028,2020,三系籼,长江上游中籼迟熟组,长江上游,637.48,1.49,,604.53 (增产1.77%),152.0,二级,3.8/4.2,中感稻瘟病,5,,9,抽穗期耐热性强,北京金色农华种业科技股份有限公司 / 北京金色农华种业科技股份有限公司、成都市农林科学院作物研究所、安徽荃银高科种业股份有限公司,4034
荃优325,国审稻20206032,2020,三系籼,长江上游中籼迟熟组,长江上游,672.33,3.43,丰两优四号,613.31 (增产1.43%),151.8,二级,4.5/4.4,感稻瘟病,5,7,9,抽穗期耐热性较强,湖北省种子集团有限公司 / 湖北省种子集团有限公司、安徽荃银高科种业股份有限公司,3964
荃9优063,国审稻20206043,2020,三系籼,长江上游中籼迟熟组,长江上游,672.36,7.20,,678.69 (增产4.80%),151.0,,4.0/4.9,中感稻瘟病,5,,9,抽穗期耐热性较强,江苏中江种业股份有限公司 / 江苏中江种业股份有限公司、安徽荃银高科种业股份有限公司,6193
荃优967,国审稻20206069,2020,三系籼,长江上游中籼迟熟组,长江上游,652.59,4.72,,657.01 (增产3.78%),151.7,二级,3.9/3.2,中感稻瘟病,5,,9,抽穗期耐热性较强,中国种子集团有限公司 / 中国种子集团有限公司、安徽荃银高科种业股份有限公司、湖北荆楚种业科技有限公司、荆州市瑞丰农业高科技研究所,3602
荃两优1606,国审稻20206076,2020,两系籼,长江中下游中籼迟熟组,长江中下游,650.99,2.96,丰两优四号,626.31 (增产1.51%),129.5,二级,3.9/4.0,中感稻瘟病,,7,9,抽穗期耐热性较强,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,3856
荃优169,国审稻20206077,2020,三系籼,长江中下游中籼迟熟组,长江中下游,647.98,2.28,丰两优四号,648.47 (增产5.22%),127.1,一级,3.7/3.7,中感稻瘟病,,7,9,抽穗期耐热性较强；米质主要指标：整,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,1346
荃优洁田一号,国审稻20206078,2020,三系籼,长江中下游中籼迟熟组,长江中下游,672.87,3.46,丰两优四号,625.86 (增产2.63%),130.5,三级,5.9/6.3,高感稻瘟病,,7,9,抽穗期耐热性差,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、深圳洁田模式生物科技有限公司,3387
徽两优广丝苗,国审稻20206079,2020,两系籼,长江中下游中籼迟熟组,长江中下游,659.29,4.76,丰两优四号,655.01 (增产2.65%),132.6,二级,3.3/3.9,中感稻瘟病,5,7,9,抽穗期耐热性较强,北京金色农华种业科技股份有限公司 / 北京金色农华种业科技股份有限公司、安徽省农业科学院水稻研究所、广东省农业科学院水稻研究所、北京金色丰度种业科技有限公司,4761
荃9优607,国审稻20206093,2020,三系籼,长江中下游中籼迟熟,长江中下游,640.4,5.5,丰两优四号,656.7 (增产6.0%),131.3,三级,4.2/4.5,感稻瘟病,,3,9,抽穗期耐热性5级,江苏红旗种业股份有限公司 / 江苏红旗种业股份有限公司、安徽荃银高科种业股份有限公司、江苏沿海地区农业科学研究所,6883
