variety,approval_no,year,type,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb_grade,bph_grade,heat_cold,super_rice,ratoon_recommended,source_url,confidence
荃9优063,国审稻20206043,2020,三系籼,长江上游中籼迟熟组,672.36,7.20,,678.69 (增产4.80%),151.0,,4.0/4.9,中感稻瘟病,5,,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优1606,国审稻20206076,2020,两系籼,长江中下游中籼迟熟组,650.99,2.96,丰两优四号,626.31 (增产1.51%),129.5,二级,3.9/4.0,中感稻瘟病,,7,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优607,国审稻20206150,2020,三系籼,长江中下游中籼迟熟组,640.47,7.25,丰两优四号,654.82 (增产6.56%),126.0,一级,3.9/3.8,中感稻瘟病,5,7,9,抽穗期耐热性强,2025,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优851,国审稻20206219,2020,三系籼,华南感光晚籼组,485.13,2.37,丰两优四号,482.08 (增产3.76%),118.9,二级,3.7/3.7,中感稻瘟病,5,5,9,抽穗期耐热性一般,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃9优801,国审稻20210002,2021,两系籼,华南早籼组,522.72,1.38,天优华占,534.84 (增产0.30%),122.2,二级,4.1/4.2,中感稻瘟病,5,5,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优2118,国审稻20210020,2021,两系籼,华南早籼组联合体,572.96,6.6,天优华占,556.9 (增产7.2%),120.2,一级,5.3/4.5,中感稻瘟病,5,7,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优851,国审稻20210041,2021,三系籼,长江上游中籼迟熟组,634.03,1.82,,623.72 (增产4.71%),152.8,一级,3.9/3.6,中感稻瘟病,5,,9,抽穗期耐热性一般,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优069,国审稻20210116,2021,两系籼,长江上游中籼迟熟组联合体,685.46,4.10,,650.69 (增产3.39%),155.5,二级,3.8/3.2,中感稻瘟病,5,,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
徽两优985,国审稻20210223,2021,两系籼,长江中下游中籼迟熟组联合体,637.82,2.92,丰两优四号,619.99 (增产9.20%),131.5,三级,4.0/3.3,中感稻瘟病,5,5,9,抽穗期耐热性较强,2025,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优1606,国审稻20216015,2021,两系籼,长江上游中籼迟熟组,649.16,4.13,,654.89 (增产7.16%),151.0,一级,3.0/3.6,中感稻瘟病,5,,7,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃广优822,国审稻20216085,2021,三系籼,长江中下游中籼迟熟组,646.72,5.41,丰两优四号,610.05 (增产5.79%),128.0,二级,4.1/4.5,感稻瘟病,7,5,9,抽穗期耐热性强,,,https://www.ricedata.cn/variety/varis/626330.htm,高(公告原文字段)
荃广优822,国审稻20220032,2022,三系籼,长江中下游晚籼中迟熟组,582.1,-0.9,,604.6 (增产3.7%),123.4,二级,4.4/4.2,中感稻瘟病,5,5,9,,,,https://www.ricedata.cn/variety/varis/626330.htm,高(公告原文字段)
荃优607,国审稻20226027,2022,三系籼,长江上游中籼迟熟组,667.6,5.0,,655.7 (增产4.8%),154.1,二级,3.8/4.6,感稻瘟病,7,,9,耐热性3级,2025,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优6019,国审稻20231021,2023,两系籼,长江中下游中籼迟熟组,665.6,8.4,,689.6 (增产7.4%),133.8,二级,3.7/3.0,中感稻瘟病,5,7,9,,2026,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃科优822,国审稻20232043,2023,三系籼,长江中下游中籼迟熟组,634.0,6.4,,610.4 (增产6.3%),131.2,二级,3.5/3.3,中感稻瘟病,5,5,9,,,,https://www.ricedata.cn/variety/varis/629936.htm,高(公告原文字段)
荃优6019,国审稻20232050,2023,三系籼,长江中下游中籼迟熟组,642.0,6.2,,628.0 (增产7.1%),133.9,一级,3.0/2.5,中感稻瘟病,5,5,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优1606,国审稻20242077,2024,两系籼,武陵山区中籼组,627.0,5.2,,614.0 (增产4.2%),140.4,一级,1.9/2.9,中抗稻瘟病,3,,,耐冷性3级,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优丝苗,国审稻20242078,2024,三系籼,武陵山区中籼组,644.9,8.2,,624.3 (增产6.2%),140.2,二级,2.0/3.9,中感稻瘟病,5,,,耐冷性7级,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优985,国审稻20243087,2024,两系籼,长江中下游中籼迟熟组联合体,623.0,3.4,,619.0 (增产4.6%),131.7,一级,3.0/2.4,中感稻瘟病,5,5,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
